Магнезія Б6,Вітаміни та мінерали,159,20.06.2024,image2.jpg,150,Ні,Розчиніть вміст однієї ампули в склянці води та випийте.,Дарниця
Крем для обличчя,Краса та догляд,125,10.04.2024,image3.jpg,200,Ні,Наносити на обличчя кожен день після вмивання.,Інтерхім
Вітамін С,Вітаміни та мінерали,75,25.07.2024,image33.jpg,150,Ні,Приймайте одну таблетку раз на день після їжі.,Sanofi
Дитячий крем,Товари для дітей та мам,195,25.09.2024,image5.jpg,120,Так,Наносити на шкіру дитини після кожної зміни підгузника.,Здоров'я
Реабілітаційна пов'язка,Ортопедія та реабілітація,402,12.08.2024,image6.jpg,90,Так,Носіть пов'язку протягом дня на пошкодженому місці.,Юрія Фарм
Вітамін D3,Вітаміни та мінерали,99,20.09.2024,image37.jpg,80,Ні,Приймайте по 1 таблетці раз на день після їжі.,Юрія Фарм
Тонометр,Медична техніка,120,03.10.2024,image8.jpg,50,Ні,Надіть манжету на плече, натисніть кнопку для вимірювання тиску.,Bayer
Догляд за шкірою,Краса та догляд,35,22.08.2024,image9.jpg,100,Ні,Наносити на суху чисту шкіру обличчя легкими масажними рухами.,Johnson & Johnson
Серцеві краплі,Ліки та профілактичні засоби,115,10.12.2024,image10.jpg,90,Так,Приймати по 10 крапель 3 рази на день до їжі.,Novartis International
Лоперамід,Ліки та профілактичні засоби,87,15.09.2024,image11.jpg,120,Так,Приймайте по 2 капсули після кожного випадування.,Pfizer
Ібупрофен,Ліки та профілактичні засоби,109,20.08.2024,image12.jpg,200,Ні,Приймайте по 1 таблетці через кожні 6 годин.,Roche Holding
Мультивітамін,Вітаміни та мінерали,295,25.07.2024,image13.jpg,150,Ні,Приймайте одну таблетку раз на день після їжі.,Sanofi
Шампунь проти лупи,Краса та догляд,89,10.10.2024,image56.jpg,200,Ні,Нанести на вологе волосся, спінити, змити водою.,Здоров'я
Дитячий носовий аерозоль,Товари для дітей та мам,149,05.11.2024,image15.jpg,100,Ні,Вприскувати по 1-2 рази в кожну ніздрю до 3 разів на день.,Інтерхім
Крем для догляду за стопами,Краса та догляд,120,15.12.2024,image16.jpg,120,Ні,Наносити на чисті і сухі стопи двічі на день.,Фармак
Глюкозамін,Вітаміни та мінерали,455,20.09.2024,image17.jpg,80,Ні,Приймайте по 1 таблетці двічі на день після їжі.,Юрія Фарм
Інгалятор,Медична техніка,85,03.08.2024,image18.jpg,40,Ні,Наповніть лікарським розчином, вдихайте через рот.,AstraZeneca
Тільки догляд за обличчям,Краса та догляд,289,22.07.2024,image19.jpg,90,Ні,Наносити на чисту шкіру обличчя круговими рухами.,Bayer
Капсули для очей,Ліки та профілактичні засоби,389,18.12.2024,image20.jpg,70,Так,Вставляти по 1 капсулі у кожне око один раз на день.,Johnson & Johnson
Протизастудні краплі,Ліки та профілактичні засоби,95,05.10.2024,image21.jpg,100,Ні,Капати по 2 краплі в кожне нісне проходження кожні 4 години.,Novartis International
Миючий гель для обличчя,Краса та догляд,175,15.09.2024,image22.jpg,150,Ні,Наносити на вологу шкіру обличчя, помасажувати, змити водою.,Sanofi
Пробіотик,Вітаміни та мінерали,279,20.08.2024,image23.jpg,180,Ні,Приймайте по 1 капсулі двічі на день перед їжею.,Здоров'я
Бар'єрний крем для шкіри,Краса та догляд,148,10.11.2024,image24.jpg,200,Ні,Наносити на суху чисту шкіру обличчя тонким шаром.,Інтерхім
Гематоген,Вітаміни та мінерали,89,25.12.2024,image25.jpg,120,Ні,Приймайте по 1 таблетці тричі на день після їжі.,Фармак
Антисептик для рук,Краса та догляд,65,15.10.2024,image26.jpg,100,Ні,Нанести на сухі руки, розподілити по всій поверхні до повного висихання.,Юрія Фарм
Термометр,Медична техніка,202,03.09.2024,image27.jpg,80,Ні,Вставте термометр під пахву або у рот, зачекайте 1-2 хвилини.,AstraZeneca
Очищувач для шкіри,Краса та догляд,125,22.07.2024,image28.jpg,90,Ні,Нанести на вологу шкіру обличчя, помасажувати, змити водою.,Bayer
Антигрибковий засіб,Ліки та профілактичні засоби,245,18.08.2024,image29.jpg,120,Ні,Наносити на уражену ділянку шкіри два рази на день.,Johnson & Johnson
Антицелюлітний крем,Краса та догляд,307,05.10.2024,image30.jpg,100,Ні,Наносити на проблемні ділянки тіла двічі на день.,Novartis International
Ацетилцистеїн,Ліки та профілактичні засоби,49,15.09.2024,image31.jpg,120,Ні,Приймайте по 1 таблетці двічі на день після їжі.,Pfizer
Димедрол,Ліки та профілактичні засоби,105,20.08.2024,image32.jpg,200,Ні,Приймайте по 1 таблетці перед сном.,Roche Holding
Вітамін С,Вітаміни та мінерали,75,25.07.2024,image33.jpg,150,Ні,Приймайте одну таблетку раз на день після їжі.,Sanofi
Крем для рук,Краса та догляд,59,10.10.2024,image34.jpg,180,Ні,Наносити на чисті руки та помасажувати до повного вбирання.,Здоров'я
Вологі серветки для дітей,Товари для дітей та мам,75,05.11.2024,image35.jpg,100,Ні,Використовувати для очищення шкіри дитини.,Інтерхім
Крем для рук з оливковою олією,Краса та догляд,75,15.12.2024,image36.jpg,120,Ні,Наносити на чисті руки та помасажувати до повного вбирання.,Фармак
Вітамін D3,Вітаміни та мінерали,99,20.09.2024,image37.jpg,80,Ні,Приймайте по 1 таблетці раз на день після їжі.,Юрія Фарм
Пульсоксиметр,Медична техніка,450,03.08.2024,image38.jpg,40,Ні,Надійно закріпіть на пальці, дочекайтесь результату.,AstraZeneca
Крем для тіла з маслом какао,Краса та догляд,49,22.07.2024,image39.jpg,90,Ні,Наносити на чисту шкіру тіла після душу.,Bayer
Назальний спрей,Ліки та профілактичні засоби,190,18.12.2024,image40.jpg,70,Ні,Капати по 1-2 рази в кожну ніздрю до 3 разів на день.,Johnson & Johnson
Маска для обличчя,Краса та догляд,33,05.10.2024,image41.jpg,100,Ні,Нанести на чисте обличчя на 15-20 хвилин, змити водою.,Novartis International
Ацикловір,Ліки та профілактичні засоби,255,15.09.2024,image42.jpg,150,Ні,Приймайте по 1 таблетці тричі на день після їжі.,Pfizer
Дезодорант для ніг,Краса та догляд,85,20.08.2024,image43.jpg,200,Ні,Наносити на чисті сухі ноги двічі на день.,Roche Holding
Магній Б6,Вітаміни та мінерали,125,25.07.2024,image44.jpg,180,Ні,Приймайте по 1 таблетці двічі на день після їжі.,Sanofi
Шампунь для волосся,Краса та догляд,97,10.10.2024,image45.jpg,200,Ні,Нанести на вологе волосся, спінити, змити водою.,Здоров'я
Дитяча інгаляційна маска,Товари для дітей та мам,75,05.11.2024,image46.jpg,100,Ні,Призначена для використання з інгалятором.,Інтерхім
Крем для рук з маслом ши,Краса та догляд,95,15.12.2024,image47.jpg,120,Ні,Наносити на чисті руки та помасажувати до повного вбирання.,Фармак
Бетагістин,Ліки та профілактичні засоби,169,20.09.2024,image48.jpg,80,Ні,Приймайте по 1 таблетці тричі на день після їжі.,Юрія Фарм
Пульсометр бета,Медична техніка,550,03.08.2024,image49.jpg,40,Ні,Надійно закріпіть на зап'ясті, дочекайтесь результату.,AstraZeneca
Крем для тіла з маслом аргана,Краса та догляд,199,22.07.2024,image50.jpg,90,Ні,Наносити на чисту шкіру тіла після душу.,Bayer
Ациловір форте,Ліки та профілактичні засоби,225,18.12.2024,image51.jpg,70,Ні,Приймайте по 1 таблетці тричі на день після їжі.,Johnson & Johnson
Крем для тіла з олією жожоба,Краса та догляд,65,05.10.2024,image52.jpg,100,Ні,Наносити на чисту шкіру тіла після душу.,Novartis International
Алергодил,Ліки та профілактичні засоби,65,15.09.2024,image53.jpg,150,Ні,Капати по 2 краплі в кожну ніздрю до 3 разів на день.,Pfizer
Сила життя,Вітаміни та мінерали,175,20.08.2024,image54.jpg,200,Ні,Приймайте одну таблетку раз на день після їжі.,Roche Holding
Фолієва кислота,Вітаміни та мінерали,69,25.07.2024,image55.jpg,180,Ні,Приймайте по 1 таблетці один раз на день після їжі.,Sanofi
Шампунь проти лупи,Краса та догляд,89,10.10.2024,image56.jpg,200,Ні,Нанести на вологе волосся, спінити, змити водою.,Здоров'я
Дитячі вологі серветки,Товари для дітей та мам,45,05.11.2024,image57.jpg,100,Ні,Використовувати для очищення шкіри дитини.,Інтерхім
Крем для обличчя з колагеном,Краса та догляд,125,15.12.2024,image58.jpg,120,Ні,Наносити на чисте обличчя легкими масажними рухами.,Фармак
Карвеліс,Ліки та профілактичні засоби,218,20.09.2024,image59.jpg,80,Ні,Приймайте по 1 таблетці двічі на день після їжі.,Юрія Фарм
Глюкометр екстра,Медична техніка,650,03.08.2024,image60.jpg,40,Ні,Почитайте інструкцію перед використанням.,AstraZeneca
ШООООООТО,Краса та догляд,1000,09.03.2024,нкуоко,4,Так,кеокот куткоук утко,Біотек
